cartodb_id,the_geom,wine,trees,soap,prepared,poultry,plants,nuts,nursery,meat,maple,jams,honey,vegetables,herbs,seafood,eggs,flowers,crafts,cheese,bakedgoods,snap,sfmnp,wiccash,wic,credit,fmid,location,schedule,zip,state,latitude,longitude
7461,,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,1002908,Private business parking lot,"June - September Friday 3:00 PM to 6:30 PM, (Summer Market)",3281,New Hampshire,43.04373,-71.6809289
7462,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002733,,,73096,Oklahoma,35.5271,-98.7092
7463,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,true,false,true,false,21006600,Closed-off public street,January - December,19138,Pennsylvania,40.0646,-75.1532
7464,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002689,,,96041,California,40.554,-123.184
7465,,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,1002504,,April - October Wednesday 2:30 PM to 6:30 PM,28787,North Carolina,35.69073,-82.56912
7466,,false,false,false,false,true,false,true,true,true,false,false,true,true,true,false,true,false,false,false,true,true,false,false,false,true,1000543,Other,January - April Friday 11:00 AM to 2:00 PM November - December Friday 11:00 AM to 2:00 PM,64870,Missouri,37.1465243,-94.4745269
7467,,false,false,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,false,true,true,false,false,false,true,1000543,Other,"May - October Tuesday 11:00 AM to 2:00 PM, Friday 11:00 AM to 2:00 PM, Saturday 9:00 AM to 12:00 PM",64870,Missouri,37.1401,-94.4621
7468,,false,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,1002074,Closed-off public street,May - October Friday 8:00 AM to 2:00 PM,95201,California,37.952861,-121.287603
7469,,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,1002074,Private business parking lot,"January - December Thursday 8:00 AM to 1:00 PM, Sunday 8:00 AM to 1:00 PM, (The Thursday Weberstown Farmers Market is be open from April through November)",95207,California,37.997549,-121.309801
7470,,false,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,1002074,Closed-off public street,"May - October Saturday 8:00 AM to 1:00 PM, (Visit our West Valley Mall location every sunday from 8:00 AM to 1:00 Pm From May through October)",95376,California,37.738328,-121.426885
